Abrev_Name,State,Region,Total_Population,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_J&J,Administered_Dose1,Administered_Dose1_Percentage,Administered_Dose2_Percentage,Administered_Dose1_18Plus,Administered_Dose1_18Plus_Pop_Percentage,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_65Plus,Administered_Dose1_65Plus_Pop_Percentage,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_J&J,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_J&J,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_J&J_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_J&J_65Plus,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Percentage,Series_Complete_65Plus,Series_Complete_65PlusPop_Percentage,12Plus_Population,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_12Plus,Administered_Dose1_12Plus_Pop_Percentage,Administered_Dose2_12Plus,Administered_Dose2_12Plus_Pop_Percentge,Series_Complete_12Plus,Series_Complete_12PlusPop_Percentage,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_J&J_12Plus,Count_70pct_vacc,Additional_Doses_Administered,Additional_Doses_Administered_Percentage,Additional_Doses_50Plus,Additional_Doses_50Plus_Percentage,Additional_Doses_18Plus,Additional_Doses_18Plus_Percentage,Additional_Doses_65Plus,Additional_Doses_65Plus_Percentage
SD,South Dakota,Mid-West,884659,1272815,996850,143876,112682,386275,577984,32466,537636,60.8,48.3,501465,75.1,932920,139751,190667,150459,99.1,295667,194683,838090,427498,400200,59.9,531040,672075,69700,179248,248126,32490,179188,220889,32465,66415,61728,4386,52,432564,64.8,132544,87.3,738101,996797,135049,172445,537583,72.8,427484,57.9,459870,62.3,179246,248114,32488,,33503,7.2,28863,11.6,33476,7.7,22547,17
TN,Tennessee,South,6829174,9051280,7259764,132538,106305,2715478,4298795,213106,3686080,54,44.1,3486146,65.5,6893777,129604,170165,989803,86.6,2142825,187409,791616,3014813,2856231,53.7,3505320,5133960,412000,1187254,1816687,205424,1186764,1658725,205164,448910,421392,33199,47.1,3058818,57.5,907992,79.4,5835568,7258869,124390,155105,3685331,63.2,3014673,51.7,3217422,55.1,1187235,1816568,205380,,277528,8.6,228192,12.9,276836,9,172506,18.9
TX,Texas,South,28995881,43443245,33708778,149826,116254,12576921,19867615,1261882,17633860,60.8,48.5,16122213,74.7,30952924,143327,201163,3318089,88.9,6966306,186553,1163380,14065445,12844637,59.5,16710020,24623925,2109300,5583253,8471957,1228264,5579395,7255076,1226766,1423400,1410893,162825,52.7,14061359,65.1,2997175,80.3,24101113,33700807,139831,180254,17627733,73.1,14063671,58.4,15281527,63.4,5582729,8470709,1227955,,1012482,6.6,783262,11.8,1009111,7.1,527663,17.6
UT,Utah,West,3205958,4223310,3622509,131733,112993,1315145,2157225,149892,1939127,60.5,48.3,1755910,77.2,3280837,144227,185658,350744,95.9,717673,196154,1154310,1548045,1394028,61.3,1558180,2474730,190400,595505,951340,147313,595123,797720,147140,133078,163339,15681,52.8,1539989,67.7,312099,85.3,2592257,3621525,139705,162920,1938451,74.8,1547744,59.7,1693828,65.3,595471,951073,147278,,86852,5.1,71499,10.9,86519,5.6,57931,18.5
VA,Virginia,South,8535519,13405045,11421829,157050,133815,4018220,6989995,407022,5990227,70.2,57.7,5534593,82.9,10554607,158129,200835,1306720,96.2,2652205,195172,986459,4927130,4530790,67.9,4973360,7833285,598400,1849756,3071343,397894,1844229,2680695,396361,552718,558329,68329,62.3,4923726,73.8,1180188,86.8,7306973,11390367,155884,183456,5971853,81.7,4915140,67.3,5309501,72.7,1849586,3059530,397799,,336244,6.3,274256,10.9,335584,6.8,203626,17.2
VT,Vermont,North-East,623989,1120670,946774,179598,151729,363314,537993,44636,492580,78.9,63.8,459428,90.1,884973,173530,219746,130954,99.9,287623,230027,896256,398116,369043,72.4,463240,595530,61900,164824,232780,43187,164781,203781,43114,58164,60051,2348,70.7,411913,80.8,120713,96.5,550950,946350,171767,203407,492164,89.3,398091,72.3,441007,80,164817,232764,43172,,39063,8.8,34214,14.5,39009,9.4,28478,23.5
WA,Washington,West,7614893,11999595,10055713,157581,132053,3733446,5910846,403822,5228564,68.7,57.6,4871701,81.9,9375042,157515,201612,1149001,95,2408084,199061,991929,4383834,4067670,68.3,4589180,6809115,601300,1749166,2628635,402243,1748459,2313254,401947,492039,530505,55304,62.8,4466041,75,1079163,89.2,6500925,10054650,154665,184583,5227634,80.4,4383579,67.4,4782191,73.6,1749110,2628439,402217,,317775,6.6,260093,11.8,316967,7,200854,18.6
WI,Wisconsin,Mid-West,5822434,7923035,7141619,136078,122657,2683589,4177113,279905,3616887,62.1,53.2,3385265,74.3,6703850,147149,173910,970838,95.4,2113607,207778,778873,3094661,2892622,63.5,3080740,4483395,358900,1251370,1841591,272144,1251058,1639900,271959,446921,453833,28548,57.8,3163322,69.4,929483,91.4,4999792,7141111,142828,158467,3616332,72.3,3094485,61.9,3365331,67.3,1251354,1841431,272126,,278800,8.2,229763,12.7,278437,8.8,181242,19.4
WV,West Virginia,South,1792147,3079635,1583779,171841,88373,702426,838842,42113,873421,48.7,38.4,829687,57.9,1509838,105393,214971,294488,80.2,566839,154447,839112,688940,657377,45.9,1221960,1727475,130200,318668,369928,44105,318365,338697,44037,133711,122264,6826,40.9,701330,49,262906,71.6,1557837,1582816,101603,197687,872786,56,688652,44.2,732653,47,318579,369729,44091,,39932,5.4,32630,7.2,39889,5.6,23079,8.7
WY,Wyoming,West,578759,705375,553637,121877,95659,240402,288434,24289,289841,50.1,39.4,273679,61.5,524715,117907,158502,84705,85.4,172913,174344,711214,227906,215251,48.4,317600,349275,38500,105762,121948,22713,105743,109315,22690,39594,34606,3549,43.3,237832,53.4,77787,78.4,490721,553595,112813,143743,289801,59.1,227897,46.4,250498,51,105761,121940,22711,,21246,8.4,18229,12.9,21199,8.9,14168,18.2
